GENDER,AGE,INCOME_LEVEL,TRAVEL_DAYS,COMPANION_CNT,VISITED_POI_CNT,AVG_STAY_TIME,MAIN_TRANSPORT,ADV_CONSUME_KRW,PREF_NATURE,PREF_ACTIVITY,PREF_GOURMET,PREF_REST,TOTAL_EXPENDITURE
1,40,3,2,0,2,107.9,1,6400.0,3,2,2,3,209200.0
1,20,1,1,1,3,120.4,1,900.0,4,1,2,3,271900.0
0,22,2,1,3,3,44.8,0,9700.0,3,5,1,1,361500.0
0,43,2,2,4,2,86.7,2,159700.0,1,5,5,2,1390300.0
1,31,2,1,1,5,165.6,0,11700.0,5,4,5,4,478900.0
1,40,4,1,3,2,86.9,2,45300.0,3,2,1,1,471700.0
1,43,3,2,1,16,140.6,0,22100.0,2,5,1,4,766300.0
1,56,5,1,0,5,102.2,0,5200.0,5,3,2,1,282600.0
0,35,2,1,5,3,109.6,0,3700.0,3,3,5,2,364200.0
0,35,1,2,0,4,58.2,0,161500.0,1,5,2,3,351600.0
0,48,3,3,2,1,33.7,0,2400.0,2,2,3,3,728300.0
1,31,2,2,1,4,115.3,2,55600.0,1,4,3,2,423700.0
1,23,1,2,1,12,100.7,0,61800.0,1,3,1,4,856800.0
0,54,4,1,1,4,92.1,0,11100.0,2,4,5,5,205600.0
0,50,5,1,1,3,43.6,0,83300.0,5,3,3,5,466400.0
0,37,4,1,1,4,77.5,0,6800.0,3,1,5,2,412600.0
0,27,1,2,1,4,68.4,1,14600.0,5,5,5,1,410000.0
1,35,2,3,1,6,71.8,0,39700.0,2,2,4,3,642900.0
1,44,3,2,4,4,98.0,1,23400.0,3,3,3,4,1416800.0
1,57,6,3,2,9,114.7,0,154600.0,2,5,3,5,1948500.0
1,22,3,2,1,6,100.0,2,34800.0,4,4,2,3,584700.0
0,22,1,1,0,5,96.8,0,17500.0,4,2,2,2,238500.0
1,51,5,1,2,5,94.0,2,36900.0,5,2,5,3,3792500.0
1,34,2,1,0,2,83.9,0,3400.0,2,5,1,5,90700.0
1,32,1,1,1,1,60.9,1,25800.0,3,5,2,4,157200.0
1,62,4,2,1,2,91.6,0,87800.0,5,5,2,1,447100.0
1,25,1,1,3,3,116.2,0,7000.0,4,1,5,1,461600.0
1,47,3,2,0,4,86.0,0,187000.0,4,1,3,3,381800.0
1,21,1,2,0,10,57.8,0,52000.0,4,2,2,1,415800.0
0,33,3,1,1,2,48.2,0,18100.0,5,5,1,5,181900.0
0,46,3,2,1,4,56.6,0,154900.0,3,1,5,4,735700.0
0,30,2,2,1,10,50.0,0,65900.0,4,2,3,1,882500.0
1,60,5,1,1,7,191.2,1,12900.0,5,3,4,1,717100.0
0,36,2,2,1,8,59.3,3,1500.0,5,5,1,2,709700.0
1,26,1,1,0,5,88.7,0,18800.0,1,1,3,1,197900.0
1,20,1,2,0,6,87.0,0,200900.0,1,2,5,1,459300.0
0,30,2,3,2,15,139.5,0,38100.0,3,5,4,5,2342300.0
0,33,2,2,3,4,105.0,1,24900.0,4,2,1,1,974000.0
1,24,1,3,1,18,104.9,2,43900.0,1,3,2,2,1139500.0
0,34,2,1,0,2,96.1,3,14500.0,3,2,2,2,123700.0
0,33,3,1,0,1,99.6,2,4800.0,1,2,1,2,116500.0
0,47,4,1,1,1,101.3,2,21300.0,4,3,2,1,236300.0
0,46,2,1,2,8,68.0,3,16300.0,5,4,5,3,491500.0
1,48,3,3,1,15,57.9,0,46800.0,4,5,1,3,1728600.0
1,26,1,2,2,8,92.1,2,7800.0,1,3,1,5,943100.0
1,20,1,1,2,1,71.2,1,15300.0,4,3,2,3,344900.0
1,46,3,1,3,6,96.5,0,2600.0,5,5,1,5,785000.0
1,30,2,1,0,1,52.2,0,37700.0,2,2,4,5,119900.0
0,26,1,2,0,10,38.4,0,5900.0,5,1,1,2,488400.0
1,47,5,2,0,4,45.2,1,53400.0,1,5,2,4,399800.0
1,48,3,2,3,12,87.4,0,23000.0,5,3,2,5,1911800.0
1,32,2,3,2,9,33.5,0,106700.0,3,2,2,1,1300500.0
1,23,1,1,1,6,158.2,1,32400.0,4,4,2,2,460600.0
0,43,5,1,0,3,158.3,0,23800.0,2,2,5,1,186700.0
0,38,3,1,1,6,121.0,1,23100.0,2,1,2,1,523600.0
0,46,3,1,1,5,77.1,1,1400.0,4,2,4,3,594400.0
1,42,4,3,1,3,73.1,3,35100.0,4,1,1,1,423100.0
1,44,3,2,1,6,100.4,0,5200.0,3,4,3,5,661000.0
1,36,3,2,0,6,110.9,2,11800.0,5,4,3,1,393600.0
0,27,2,2,2,4,100.4,0,54600.0,2,2,5,1,563900.0
1,40,3,1,1,4,44.1,0,16500.0,1,5,3,3,224100.0
0,31,3,1,1,2,83.4,0,2100.0,4,5,2,1,159300.0
0,46,3,2,0,8,108.7,0,35100.0,4,5,3,5,365700.0
0,21,1,2,2,8,20.0,3,45300.0,2,4,4,5,723300.0
0,26,1,1,1,1,51.3,0,34300.0,4,1,2,1,104000.0
1,58,5,2,3,8,108.4,2,123400.0,2,3,3,5,2343200.0
0,41,3,2,1,4,79.1,0,10500.0,1,2,2,5,443800.0
1,56,3,1,3,3,79.1,0,24100.0,1,1,5,3,533900.0
1,43,4,2,3,6,128.8,0,10200.0,2,3,4,2,1016900.0
0,31,2,1,1,2,88.1,0,300.0,4,4,1,2,128400.0
1,46,2,2,3,1,73.4,3,126700.0,3,3,2,4,851400.0
1,54,4,2,1,2,79.2,1,19500.0,3,4,4,2,338500.0
0,30,2,4,1,20,80.4,0,76900.0,5,4,5,1,1887300.0
1,44,3,1,0,4,60.8,1,25200.0,3,1,5,5,254600.0
0,22,1,1,1,2,82.2,0,14600.0,4,5,4,2,202900.0
0,36,4,1,2,1,50.1,0,15900.0,3,5,3,3,154400.0
0,45,4,1,2,1,78.3,0,400.0,5,1,4,4,168300.0
1,27,1,2,0,6,71.9,0,4300.0,1,2,3,1,263400.0
1,24,1,3,1,9,98.1,3,111900.0,2,4,3,2,678700.0
0,21,1,1,0,3,143.0,0,21600.0,3,2,4,5,131700.0
0,28,1,1,2,5,99.1,0,11700.0,2,4,5,3,244000.0
1,27,1,1,0,4,93.6,0,13400.0,2,4,1,2,178200.0
0,35,2,1,3,3,98.2,0,14300.0,1,5,1,5,227800.0
0,56,5,1,1,1,59.8,0,1700.0,5,5,4,2,156300.0
1,38,2,1,1,7,114.6,0,16500.0,4,4,2,1,273500.0
1,26,1,2,3,6,104.2,1,13700.0,4,5,4,4,800700.0
0,22,2,1,1,4,88.4,0,13800.0,4,5,1,5,200700.0
1,45,4,2,0,8,102.4,0,124200.0,5,3,4,4,473600.0
1,36,2,2,1,8,101.5,0,47400.0,5,3,5,4,739500.0
0,41,4,1,0,1,101.5,0,5800.0,5,4,1,3,94400.0
1,42,2,2,5,8,124.8,2,42600.0,3,5,1,5,2654700.0
0,43,4,2,1,6,63.5,0,93500.0,2,3,1,3,719700.0
1,25,1,2,1,8,135.9,0,45200.0,5,2,5,4,763300.0
1,40,4,1,1,2,33.9,0,8500.0,5,4,1,1,188700.0
1,28,3,1,0,5,113.2,3,2900.0,3,4,2,1,224900.0
0,54,6,2,2,6,95.9,2,154900.0,2,2,1,2,2008500.0
1,46,5,2,3,2,56.3,0,64400.0,4,4,4,2,1107700.0
0,28,1,1,3,4,126.0,0,1700.0,1,5,2,5,470300.0
0,28,1,1,1,6,26.5,0,16600.0,5,3,3,1,277400.0
0,20,1,1,1,1,146.9,1,20200.0,5,1,1,4,130800.0
1,40,4,1,0,3,169.0,0,10400.0,1,3,3,1,164800.0
1,22,2,2,2,4,84.3,0,28300.0,5,2,3,5,821800.0
0,35,2,1,1,6,54.0,0,2800.0,5,1,5,2,246600.0
1,21,3,1,1,1,69.8,0,6900.0,5,5,4,2,149700.0
0,40,4,2,3,8,124.1,0,91200.0,1,5,4,3,1088600.0
1,40,5,1,0,2,78.7,0,7300.0,3,3,3,2,141700.0
0,44,4,2,0,10,20.0,0,22500.0,3,4,5,4,484800.0
1,43,3,2,0,4,103.4,0,20100.0,1,4,2,5,316400.0
0,20,1,1,1,1,121.3,0,13500.0,3,2,1,2,96300.0
1,23,1,2,0,4,108.0,0,37200.0,4,4,2,2,259600.0
0,42,3,2,1,10,113.6,0,87100.0,4,5,1,4,653700.0
0,31,2,1,1,2,146.2,2,2300.0,1,1,3,2,161700.0
0,38,3,1,0,2,82.6,0,4400.0,2,3,5,4,91300.0
1,20,2,2,2,6,150.1,0,76400.0,5,3,5,2,917600.0
1,26,1,3,1,12,84.6,1,54000.0,2,3,4,4,776400.0
0,23,1,2,2,4,129.4,0,75400.0,5,4,4,2,731400.0
1,54,4,1,1,4,85.0,0,19100.0,3,1,2,5,269200.0
1,24,1,2,1,8,161.3,0,97700.0,3,4,4,3,554500.0
1,30,2,1,3,3,112.7,0,5500.0,4,4,1,3,323900.0
1,25,1,2,0,14,86.6,0,56500.0,2,5,5,1,532800.0
0,48,2,2,1,1,48.0,0,5800.0,1,5,5,3,296000.0
0,21,1,2,3,8,97.2,1,13800.0,5,4,3,4,1079400.0
1,56,4,2,1,10,61.3,1,89100.0,3,2,3,4,848700.0
1,55,4,2,1,6,105.4,0,15200.0,5,2,2,3,624400.0
1,24,1,2,1,1,113.1,1,5800.0,1,2,3,4,191900.0
0,53,4,1,2,5,126.4,0,10800.0,5,4,1,5,767000.0
0,63,5,2,3,8,108.8,1,47600.0,4,1,4,4,1642000.0
1,45,5,3,0,3,92.8,0,56200.0,1,2,4,5,322200.0
1,53,4,1,0,1,136.4,1,42100.0,1,5,2,5,140100.0
1,24,1,2,1,6,140.4,0,41600.0,5,3,4,5,315400.0
1,35,3,1,1,4,53.2,0,17000.0,5,3,5,2,363800.0
1,24,1,2,1,8,151.7,0,154800.0,3,4,4,1,782600.0
0,26,3,2,1,2,133.0,1,45800.0,5,3,3,4,463000.0
0,68,5,1,0,2,60.1,0,34200.0,1,4,5,2,221000.0
1,26,1,2,0,2,24.2,0,18600.0,5,3,3,1,148500.0
1,46,2,1,3,1,132.2,0,1100.0,3,1,3,2,211300.0
0,43,3,2,0,1,97.2,0,1500.0,2,1,2,4,176600.0
0,50,4,1,1,4,74.1,1,8400.0,4,1,2,5,509400.0
1,67,5,1,1,3,101.0,3,4100.0,1,1,5,2,227900.0
0,23,1,1,3,1,131.5,1,7500.0,3,2,4,1,427200.0
0,20,1,1,2,5,20.0,2,6100.0,4,5,1,1,497300.0
1,34,1,2,2,10,94.4,0,75900.0,5,1,4,1,691300.0
1,27,2,2,0,6,92.0,0,1200.0,5,2,5,2,293300.0
1,23,1,1,2,7,142.4,0,32100.0,2,4,1,1,484400.0
0,37,2,1,1,1,119.0,3,17700.0,5,3,3,3,229400.0
1,47,3,1,1,3,118.7,1,14600.0,4,3,3,1,305200.0
0,32,3,2,1,10,74.5,0,3300.0,3,2,1,1,539500.0
0,28,1,2,2,4,113.4,0,41200.0,2,3,3,2,496700.0
1,42,3,1,2,2,73.0,0,26000.0,4,1,4,4,304500.0
1,20,1,2,3,4,86.2,0,4000.0,3,3,2,2,726200.0
1,21,1,1,3,5,110.1,1,100.0,4,1,4,2,811900.0
1,45,5,3,1,6,93.0,0,54200.0,5,1,3,3,1278200.0
1,31,3,3,1,3,101.1,2,17300.0,4,3,2,4,669800.0
0,45,2,2,0,6,136.0,2,31700.0,2,2,4,2,283600.0
0,20,1,3,3,9,77.2,2,106500.0,4,4,3,3,1881100.0
0,40,4,2,0,2,53.7,2,13300.0,1,2,4,2,298300.0
0,34,1,2,3,10,58.3,0,76200.0,5,5,3,3,1408600.0
1,38,4,2,1,4,50.6,3,42100.0,4,5,5,5,582600.0
0,37,4,1,1,4,146.3,0,17600.0,3,1,1,1,1080200.0
1,52,3,1,0,5,112.9,2,2300.0,5,1,3,1,247100.0
1,32,4,1,1,4,127.5,0,32200.0,3,2,4,2,252600.0
1,30,2,2,3,10,121.2,0,52700.0,2,2,3,3,966200.0
1,62,6,1,0,4,83.1,0,57900.0,1,1,3,5,271800.0
1,40,3,1,1,4,147.0,0,2800.0,4,4,4,1,278200.0
1,37,2,2,0,4,65.8,2,15400.0,5,4,4,2,305500.0
0,40,3,1,1,6,160.4,1,600.0,4,5,2,2,424100.0
1,34,3,2,0,1,94.3,0,34000.0,4,4,3,3,155400.0
0,28,1,3,1,3,152.6,0,100.0,5,3,5,4,352800.0
0,36,2,2,3,1,53.3,1,109100.0,1,1,1,2,743200.0
1,53,4,2,1,4,74.9,0,54900.0,1,2,3,5,631800.0
0,58,4,2,1,2,33.9,1,11100.0,2,1,4,5,568000.0
1,38,2,2,1,4,126.5,0,1800.0,5,3,2,4,369600.0
1,31,2,1,0,8,98.9,0,10500.0,5,4,3,5,269300.0
1,25,1,3,1,15,160.6,2,157800.0,3,1,5,3,1380600.0
0,63,4,1,1,2,73.1,0,2000.0,3,3,4,2,213700.0
0,67,4,1,1,1,136.8,0,1300.0,3,4,5,3,124700.0
1,46,2,2,2,4,92.8,2,108400.0,1,5,5,4,818400.0
1,46,3,1,1,5,86.7,2,32800.0,2,5,1,4,550400.0
1,48,5,1,2,5,79.9,3,29000.0,2,5,1,3,909200.0
1,34,1,1,3,2,60.4,0,12300.0,4,3,3,1,333800.0
1,25,3,1,0,4,103.1,0,32900.0,2,3,1,4,185600.0
0,30,3,1,1,1,97.4,0,24500.0,3,2,3,2,116800.0
0,45,3,1,1,1,35.0,0,4900.0,5,2,3,4,88100.0
1,41,3,2,0,2,20.0,1,9000.0,4,5,4,3,890300.0
0,35,3,2,2,10,79.0,0,20600.0,1,1,4,3,1309800.0
0,58,3,1,2,2,130.7,0,3900.0,2,4,2,5,270900.0
1,27,1,2,1,8,97.8,2,202300.0,5,2,1,1,601000.0
1,38,3,1,1,4,44.4,2,13200.0,3,4,2,3,400400.0
1,47,3,1,0,5,27.9,0,13700.0,1,1,5,5,186500.0
1,42,4,1,1,4,130.4,0,3100.0,1,5,3,5,468800.0
0,47,2,2,2,6,32.1,1,34800.0,2,4,3,2,876300.0
1,25,2,1,1,3,116.6,0,8500.0,5,5,4,5,207100.0
1,25,1,2,1,6,109.9,1,2800.0,3,4,5,1,570800.0
0,45,3,2,2,10,147.2,2,45900.0,3,1,3,2,1195900.0
1,32,2,2,1,8,68.0,0,4500.0,3,2,3,3,715900.0
1,20,1,2,1,6,122.9,0,97100.0,3,3,5,3,389400.0
1,43,4,3,1,6,139.0,0,70500.0,2,5,5,5,575500.0
1,35,2,1,1,4,43.2,1,31900.0,2,2,3,4,381100.0
1,41,4,1,2,5,94.7,0,2000.0,5,4,5,1,539000.0
0,46,3,2,3,2,88.6,1,15900.0,4,2,1,1,840200.0
0,26,1,2,0,10,52.8,2,18500.0,2,3,5,5,307400.0
1,23,1,1,3,5,99.3,0,8200.0,3,5,2,1,705400.0
1,43,2,1,1,2,49.1,2,5100.0,5,5,2,2,295100.0
1,30,2,2,2,4,103.4,0,14200.0,3,2,3,5,679100.0
1,41,3,1,3,2,166.1,2,4200.0,2,1,3,4,756400.0
1,48,4,1,1,2,82.9,0,7300.0,5,4,4,3,162700.0
1,47,4,3,2,12,86.7,0,20100.0,3,2,5,1,1444700.0
1,67,4,2,0,6,139.6,0,16100.0,4,1,2,3,1702200.0
1,38,2,2,0,2,134.1,0,62100.0,1,5,4,4,198600.0
1,36,2,2,2,10,68.4,0,44900.0,1,4,3,4,1266600.0
1,38,2,3,3,6,114.1,2,76700.0,3,5,1,2,1583400.0
1,21,1,1,3,3,20.0,0,9900.0,1,3,5,4,442200.0
0,35,1,1,1,1,54.9,2,16200.0,4,1,4,4,708500.0
0,22,3,2,1,2,127.4,0,68500.0,4,3,1,1,358300.0
0,55,5,2,1,6,72.1,0,7300.0,3,3,3,3,506000.0
1,32,2,1,5,2,83.0,0,65100.0,4,3,2,1,422700.0
0,37,2,4,1,8,57.6,3,21900.0,1,1,4,1,924900.0
1,33,2,1,2,3,52.0,0,900.0,3,4,4,5,239800.0
1,25,2,1,1,2,20.0,0,4600.0,1,5,3,5,105400.0
0,28,1,1,1,3,77.3,2,5400.0,4,4,3,2,302600.0
1,31,1,1,1,5,106.3,0,3100.0,4,4,2,2,273300.0
0,21,2,2,4,6,98.6,1,73900.0,5,4,2,4,1210300.0
0,36,2,3,1,15,60.9,0,29500.0,2,5,2,2,860600.0
1,51,4,1,3,4,40.0,0,800.0,2,5,1,2,781500.0
0,51,4,3,0,12,76.9,0,68200.0,3,1,1,4,2587500.0
0,43,3,2,1,8,43.5,2,56600.0,1,2,3,3,852100.0
1,28,1,2,2,4,63.1,2,4900.0,2,5,4,4,608100.0
1,57,4,2,2,4,94.5,0,65900.0,3,5,1,4,989800.0
0,51,4,1,3,5,59.5,0,6100.0,4,2,3,3,536100.0
1,27,1,2,0,10,135.0,0,84000.0,2,5,1,4,368400.0
0,43,4,1,0,1,53.4,0,1600.0,1,4,2,5,80900.0
0,21,1,2,1,6,68.8,0,17900.0,5,5,3,2,387900.0
1,46,2,1,0,8,119.7,0,1400.0,5,1,2,4,236400.0
1,65,6,2,4,6,114.2,0,39400.0,2,5,5,1,2201400.0
1,24,2,2,1,12,108.1,0,29300.0,5,2,4,2,792200.0
1,50,5,1,1,1,67.7,1,26300.0,3,4,2,5,239500.0
1,31,2,1,0,3,110.4,2,1000.0,1,2,4,5,208500.0
1,67,5,2,1,4,117.7,0,74300.0,4,5,3,4,588900.0
0,30,3,2,1,2,105.5,1,10000.0,1,5,5,3,450500.0
1,52,5,1,0,2,88.9,0,4100.0,4,1,4,1,180400.0
0,21,1,2,1,6,110.2,0,37100.0,5,4,1,4,2456800.0
1,34,4,1,1,4,87.3,1,21200.0,3,5,3,3,415500.0
0,23,1,1,5,2,104.1,1,45300.0,4,1,5,5,550700.0
0,66,7,1,1,2,92.6,0,8400.0,5,1,1,2,175000.0
1,44,4,1,1,3,37.1,0,21200.0,4,2,1,5,232600.0
1,57,5,2,5,10,69.6,2,23700.0,2,4,5,4,2531800.0
1,53,6,3,2,9,162.8,0,262700.0,1,3,2,3,1698600.0
0,25,2,1,5,3,22.2,0,17600.0,3,1,5,4,683400.0
0,33,2,2,4,4,144.3,1,104800.0,5,3,5,5,1207200.0
0,21,1,1,1,1,111.9,0,8700.0,3,2,5,1,76900.0
0,20,1,2,2,6,91.2,0,98700.0,1,1,4,5,930900.0
1,20,1,1,0,4,31.2,2,9600.0,4,4,2,4,188200.0
1,37,3,2,1,4,90.0,0,49300.0,4,3,3,3,418300.0
1,23,1,3,2,3,63.9,0,29900.0,3,4,1,4,561600.0
0,24,1,1,1,5,131.6,0,29900.0,4,3,4,2,367000.0
1,27,1,2,2,4,66.7,0,4500.0,4,2,2,2,674200.0
1,26,2,1,2,2,80.3,0,4200.0,4,1,5,3,177100.0
1,67,4,1,1,5,98.6,0,500.0,2,1,4,5,231000.0
1,47,3,1,3,1,67.4,0,60900.0,5,2,4,4,224600.0
0,65,5,1,1,3,123.6,0,4000.0,5,5,1,2,356300.0
0,31,3,1,1,6,79.6,0,6900.0,1,3,3,1,588900.0
0,25,1,1,3,4,24.2,0,4800.0,4,3,2,2,452700.0
1,40,4,1,1,6,95.3,0,600.0,3,5,2,5,279300.0
0,20,1,1,2,1,118.3,0,4500.0,4,2,2,3,109900.0
0,22,1,2,1,6,140.3,0,152100.0,1,4,5,1,694100.0
0,22,3,3,1,15,109.3,0,131600.0,4,4,5,4,1899200.0
0,24,1,1,2,3,130.4,1,51100.0,2,2,4,4,583300.0
1,20,1,1,1,4,107.2,1,18000.0,1,4,3,3,418000.0
1,35,1,1,1,1,56.4,0,18400.0,5,2,1,1,117400.0
1,46,3,2,0,14,62.7,0,188100.0,5,3,1,1,903900.0
0,22,1,2,3,4,20.0,0,32900.0,2,3,3,1,769900.0
1,23,1,1,0,4,82.4,0,35800.0,5,5,2,3,153200.0
1,42,2,1,3,4,112.8,0,48900.0,2,2,3,3,664300.0
0,20,1,1,1,1,34.8,0,1600.0,5,4,1,4,97200.0
1,37,3,1,1,3,135.3,0,31800.0,5,2,5,2,344300.0
0,51,5,3,3,9,86.4,2,95000.0,4,1,3,5,2618800.0
1,20,1,3,0,18,58.6,1,62900.0,1,5,4,4,734500.0
1,27,1,1,1,4,34.6,2,6400.0,5,1,5,1,358100.0
0,36,2,2,2,6,148.1,0,72500.0,1,5,4,2,736300.0
0,26,1,1,2,3,131.4,0,13700.0,1,5,4,5,223500.0
1,33,2,1,1,3,75.9,0,1700.0,5,5,3,1,194900.0
1,48,3,2,1,6,122.5,2,42600.0,1,1,4,3,647000.0
1,25,1,2,2,8,82.7,0,40200.0,2,5,2,2,764800.0
1,31,2,1,2,3,68.8,0,0.0,3,2,3,3,311400.0
0,30,2,1,2,1,67.1,0,8000.0,2,2,1,5,103500.0
0,20,3,2,1,8,81.9,1,26300.0,5,1,2,5,850800.0
1,38,2,2,5,10,76.1,0,35800.0,2,3,5,1,2278000.0
0,23,1,2,1,10,92.2,0,38100.0,3,3,3,3,844100.0
1,34,3,1,0,3,146.3,3,75700.0,2,1,1,4,264500.0
1,22,1,1,1,3,169.7,0,30700.0,1,5,1,4,259600.0
1,33,2,3,0,15,47.9,0,44300.0,5,5,3,3,497200.0
0,27,1,2,0,6,106.1,0,147200.0,1,5,2,5,297900.0
1,43,2,1,1,2,97.3,1,7200.0,1,1,1,2,222200.0
1,28,1,2,0,6,108.6,0,14300.0,5,5,3,3,320400.0
1,38,3,2,2,2,74.2,0,10800.0,5,2,3,1,595800.0
1,35,1,1,0,4,109.0,1,700.0,4,5,4,4,148400.0
0,41,3,1,1,5,41.7,0,5700.0,3,1,3,1,446100.0
1,36,3,2,0,6,208.4,2,31400.0,1,5,1,2,313500.0
1,48,4,2,0,6,100.2,0,12200.0,1,2,4,4,273900.0
0,45,3,2,1,2,115.6,0,229600.0,5,1,1,4,473600.0
0,52,5,3,1,6,50.9,0,9400.0,5,3,2,4,713000.0
0,26,1,1,4,2,65.7,1,43300.0,2,1,2,1,642100.0
0,34,2,1,3,6,38.6,1,63700.0,1,4,1,5,1335400.0
0,50,4,3,3,15,141.0,0,31300.0,1,3,5,1,2883500.0
1,62,5,1,0,4,51.2,0,19600.0,5,3,5,5,273100.0
0,54,6,2,1,12,83.4,2,28900.0,1,1,5,3,1378100.0
0,36,1,2,0,8,84.9,0,41400.0,3,4,1,4,306500.0
1,22,1,2,2,2,106.6,0,55000.0,4,3,3,1,543600.0
0,35,2,1,0,6,44.8,3,8300.0,5,5,4,2,318400.0
1,44,3,2,1,4,120.1,1,59800.0,5,4,3,2,688400.0
